名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
西安奕材-U,2025-10-28,39.78,25.75,39.78,24.89,1208650,3245796569.0,172.74,198.72,17.13,73.42
西安奕材-U,2025-10-29,25.1,26.75,27.88,24.89,842327,2216002577.0,11.61,3.88,1.0,51.17
西安奕材-U,2025-10-30,27.5,30.0,32.28,26.8,812475,2373046913.0,20.49,12.15,3.25,49.36
西安奕材-U,2025-10-31,28.56,28.73,29.5,27.8,504962,1451311921.0,5.67,-4.23,-1.27,30.67
西安奕材-U,2025-11-03,28.4,27.59,28.4,26.57,337433,922911973.0,6.37,-3.97,-1.14,20.5
西安奕材-U,2025-11-04,27.41,26.49,28.26,26.43,297384,801729187.0,6.63,-3.99,-1.1,18.07
西安奕材-U,2025-11-05,25.8,26.59,27.36,25.68,254533,679650043.0,6.34,0.38,0.1,15.46
西安奕材-U,2025-11-06,26.57,26.85,28.61,26.57,366081,1007920069.0,7.67,0.98,0.26,22.24
西安奕材-U,2025-11-07,26.35,26.15,26.78,25.89,248131,652908951.0,3.31,-2.61,-0.7,15.07
西安奕材-U,2025-11-10,26.3,27.77,27.96,26.3,323419,885846894.0,6.35,6.2,1.62,19.65
西安奕材-U,2025-11-11,28.5,27.36,29.61,27.31,419611,1190074657.0,8.28,-1.48,-0.41,25.49
西安奕材-U,2025-11-12,26.5,26.89,27.26,26.26,246252,656454247.0,3.65,-1.72,-0.47,14.96
西安奕材-U,2025-11-13,26.66,27.0,27.67,26.63,221518,599649655.0,3.87,0.41,0.11,13.46
西安奕材-U,2025-11-14,26.56,26.05,26.92,26.05,206224,544042337.0,3.22,-3.52,-0.95,12.53
西安奕材-U,2025-11-17,26.4,25.91,26.91,25.8,178235,468695195.0,4.26,-0.54,-0.14,10.83
西安奕材-U,2025-11-18,25.77,25.03,25.8,24.93,198713,500505200.0,3.36,-3.4,-0.88,12.07
西安奕材-U,2025-11-19,24.89,25.27,25.54,24.89,124182,312073549.0,2.6,0.96,0.24,7.54
西安奕材-U,2025-11-20,25.69,24.2,25.8,24.2,162933,403855374.0,6.33,-4.23,-1.07,9.9
西安奕材-U,2025-11-21,23.6,22.8,23.77,22.8,154934,359320935.0,4.01,-5.79,-1.4,9.41
西安奕材-U,2025-11-24,22.83,22.9,23.05,22.55,83751,190811182.0,2.19,0.44,0.1,5.09
西安奕材-U,2025-11-25,23.2,23.23,23.57,23.08,94924,221162492.0,2.14,1.44,0.33,5.77
西安奕材-U,2025-11-26,23.25,23.46,23.73,22.77,101423,237326738.0,4.13,0.99,0.23,6.16
西安奕材-U,2025-11-27,23.36,24.6,24.99,23.3,195012,476356624.0,7.2,4.86,1.14,11.85
西安奕材-U,2025-11-28,24.52,24.2,24.52,23.88,100324,242202186.0,2.6,-1.63,-0.4,6.09
西安奕材-U,2025-12-01,24.33,24.25,24.45,24.0,76091,183952820.0,1.86,0.21,0.05,4.62
西安奕材-U,2025-12-02,24.12,23.78,24.15,23.73,78270,186998272.0,1.73,-1.94,-0.47,4.75
西安奕材-U,2025-12-03,24.66,23.5,24.86,23.5,121980,296274290.0,5.72,-1.18,-0.28,7.41
西安奕材-U,2025-12-04,23.28,23.87,23.98,23.2,87105,205597900.0,3.32,1.57,0.37,5.29
西安奕材-U,2025-12-05,23.72,23.52,23.8,23.24,82667,193431945.0,2.35,-1.47,-0.35,5.02
西安奕材-U,2025-12-08,23.49,23.78,23.97,23.49,89038,211096357.0,2.04,1.11,0.26,5.41
西安奕材-U,2025-12-09,23.76,23.78,24.16,23.43,78085,186281110.0,3.07,0.0,0.0,4.74
西安奕材-U,2025-12-10,23.6,24.53,24.8,23.26,165234,400531040.0,6.48,3.15,0.75,10.04
西安奕材-U,2025-12-11,24.3,24.7,25.13,24.0,182569,451032594.0,4.61,0.69,0.17,11.09
西安奕材-U,2025-12-12,24.71,24.47,24.72,24.15,111157,271294243.0,2.31,-0.93,-0.23,6.75
西安奕材-U,2025-12-15,24.2,23.71,24.25,23.63,83187,199027347.0,2.53,-3.11,-0.76,5.05
西安奕材-U,2025-12-16,23.7,22.89,23.7,22.89,87839,203354392.0,3.42,-3.46,-0.82,5.34
西安奕材-U,2025-12-17,23.01,23.16,23.21,22.73,61063,140288756.0,2.1,1.18,0.27,3.71
西安奕材-U,2025-12-18,22.83,22.77,23.25,22.75,64385,147930682.0,2.16,-1.68,-0.39,3.91
西安奕材-U,2025-12-19,22.99,22.97,23.26,22.88,54307,125158665.0,1.67,0.88,0.2,3.3
西安奕材-U,2025-12-22,22.96,23.28,23.45,22.96,62887,146639545.0,2.13,1.35,0.31,3.82
西安奕材-U,2025-12-23,23.2,23.15,23.54,23.05,60457,140682581.0,2.1,-0.56,-0.13,3.67
西安奕材-U,2025-12-24,23.3,23.56,23.92,23.15,81126,191524919.0,3.33,1.77,0.41,4.93
西安奕材-U,2025-12-25,23.68,23.57,23.75,23.31,67186,157615038.0,1.87,0.04,0.01,4.08
西安奕材-U,2025-12-26,23.57,23.65,24.16,23.43,90454,215178668.0,3.1,0.34,0.08,5.49
西安奕材-U,2025-12-29,23.57,23.23,23.64,23.19,75672,176676338.0,1.9,-1.78,-0.42,4.6
西安奕材-U,2025-12-30,23.26,23.06,23.55,23.0,67055,155360313.0,2.37,-0.73,-0.17,4.07
西安奕材-U,2025-12-31,23.18,23.8,23.83,22.78,108460,250754528.0,4.55,3.21,0.74,6.59
西安奕材-U,2026-01-05,23.78,24.35,24.52,23.7,157002,379532094.0,3.45,2.31,0.55,9.54
西安奕材-U,2026-01-06,24.22,25.05,25.48,24.18,188055,468872192.0,5.34,2.87,0.7,11.42
西安奕材-U,2026-01-07,25.65,25.94,26.44,25.04,294326,757083719.0,5.59,3.55,0.89,17.88
西安奕材-U,2026-01-08,25.64,26.08,27.28,25.6,261658,690422945.0,6.48,0.54,0.14,15.89
西安奕材-U,2026-01-09,25.8,26.2,26.8,25.53,178312,468045808.0,4.87,0.46,0.12,10.83
西安奕材-U,2026-01-12,26.18,26.02,26.5,25.84,172880,450099312.0,2.52,-0.69,-0.18,10.5
西安奕材-U,2026-01-13,25.84,25.88,26.5,25.35,75442,195733454.0,4.42,-0.54,-0.14,4.58
