名称,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
沃尔德,2019-07-22,36.41,37.92,47.97,25.36,137240,688904664.0,133.16,123.32,20.94,75.6
沃尔德,2019-07-23,30.14,35.2,37.62,29.92,73887,377995512.0,20.31,-7.17,-2.72,40.7
沃尔德,2019-07-24,36.2,48.16,48.16,35.85,114404,696399253.0,34.97,36.82,12.96,63.02
沃尔德,2019-07-25,46.49,50.73,56.56,42.37,128014,905162124.0,29.46,5.34,2.57,70.52
沃尔德,2019-07-26,48.01,50.71,54.71,46.66,102978,766546408.0,15.87,-0.04,-0.02,56.73
沃尔德,2019-07-29,54.71,61.26,61.26,52.56,55089,464145138.0,17.16,20.8,10.55,30.35
沃尔德,2019-07-30,65.78,63.44,73.56,58.82,125495,1176849417.0,24.06,3.56,2.18,69.13
沃尔德,2019-07-31,62.21,72.92,73.05,61.45,112044,1065143945.0,18.28,14.94,9.48,61.72
沃尔德,2019-08-01,73.42,87.92,87.92,70.79,100239,1126105674.0,23.49,20.57,15.0,55.22
沃尔德,2019-08-02,90.62,96.71,105.92,89.71,111898,1568075506.0,18.44,10.0,8.79,61.64
沃尔德,2019-08-05,97.21,99.64,104.26,88.79,96061,1331808638.0,16.0,3.03,2.93,52.92
沃尔德,2019-08-06,95.06,85.66,104.01,79.35,105102,1433145090.0,24.75,-14.03,-13.98,57.9
沃尔德,2019-08-07,89.35,90.25,95.78,86.85,86931,1137675732.0,10.42,5.36,4.59,47.89
沃尔德,2019-08-08,85.78,91.49,92.87,82.76,82120,1033054317.0,11.2,1.37,1.24,45.24
沃尔德,2019-08-09,90.8,94.35,104.21,87.98,103503,1412447743.0,17.74,3.13,2.86,57.02
沃尔德,2019-08-12,94.71,99.85,99.85,89.36,83263,1141496838.0,11.12,5.83,5.5,45.87
沃尔德,2019-08-13,100.69,109.35,111.41,99.8,102730,1556802104.0,11.63,9.51,9.5,56.59
沃尔德,2019-08-14,112.14,110.51,113.69,105.99,81525,1271205933.0,7.04,1.06,1.16,44.91
沃尔德,2019-08-15,106.49,106.92,112.12,105.14,62351,964770320.0,6.32,-3.25,-3.59,34.35
沃尔德,2019-08-16,107.93,102.55,108.63,102.28,62787,943287766.0,5.94,-4.09,-4.37,34.59
沃尔德,2019-08-19,100.06,94.23,101.49,93.79,66647,920386235.0,7.51,-8.11,-8.32,36.72
沃尔德,2019-08-20,94.9,97.28,99.75,92.69,60973,844564639.0,7.49,3.24,3.05,33.59
沃尔德,2019-08-21,95.07,99.56,99.92,93.76,68849,960776983.0,6.33,2.34,2.28,37.93
沃尔德,2019-08-22,99.21,89.58,100.41,89.58,62710,854696447.0,10.88,-10.02,-9.98,34.55
沃尔德,2019-08-23,87.21,79.28,89.58,72.96,81925,969355024.0,18.55,-11.5,-10.3,45.13
沃尔德,2019-08-26,78.64,79.39,82.64,75.99,49689,568885019.0,8.39,0.14,0.11,27.37
沃尔德,2019-08-27,79.41,80.19,81.85,78.35,38023,438262520.0,4.41,1.01,0.8,20.95
沃尔德,2019-08-28,79.35,75.29,79.62,73.71,51445,565252299.0,7.37,-6.11,-4.9,28.34
沃尔德,2019-08-29,73.99,73.92,75.17,69.28,54513,566071674.0,7.82,-1.82,-1.37,30.03
沃尔德,2019-08-30,73.29,75.69,77.92,71.25,59235,638287055.0,9.02,2.39,1.77,32.63
沃尔德,2019-09-02,75.06,73.85,75.67,73.06,31567,337550669.0,3.45,-2.43,-1.84,17.39
沃尔德,2019-09-03,72.96,84.71,86.14,72.51,76485,888852397.0,18.46,14.71,10.86,42.13
沃尔德,2019-09-04,83.28,83.64,88.64,82.32,66408,819927288.0,7.46,-1.26,-1.07,36.58
沃尔德,2019-09-05,83.64,86.68,87.06,81.49,49974,605422367.0,6.66,3.63,3.04,27.53
沃尔德,2019-09-06,86.66,79.34,88.39,78.76,50773,612352565.0,11.11,-8.47,-7.34,27.97
沃尔德,2019-09-09,78.64,77.85,80.51,77.01,35047,395452197.0,4.41,-1.88,-1.49,19.31
沃尔德,2019-09-10,77.81,79.36,82.92,77.81,39828,461561561.0,6.56,1.94,1.51,21.94
